,validated,accepted,committed
0,18,173,373
1,19,147,359
2,12,136,333
3,15,180,384
4,16,147,352
5,17,149,353
6,14,156,355
7,17,146,371
8,13,168,366
9,12,142,340
10,13,139,336
11,14,138,336
12,13,136,334
13,17,173,377
14,15,149,356
15,62,141,350
16,16,166,364
17,18,146,354
18,12,25,180
19,13,138,336
20,14,134,332
21,13,140,341
22,17,144,346
23,15,143,349
24,15,156,353
25,22,174,376
26,15,172,382
27,20,148,350
28,16,161,360
29,14,177,375
30,20,152,360
31,17,144,348
32,14,167,365
33,14,29,196
34,12,166,373
35,17,146,348
36,14,140,339
37,17,146,354
38,14,159,360
39,17,142,345
40,14,142,342
41,19,169,373
42,14,180,381
43,18,149,359
44,16,141,356
45,57,186,397
46,15,29,236
47,17,151,354
48,15,168,367
49,18,144,346
50,18,150,359
51,18,151,357
52,15,32,224
53,11,136,338
54,11,25,178
55,18,39,204
56,12,136,334
57,15,145,348
58,18,143,354
59,19,162,370
60,15,147,349
61,14,139,342
62,15,176,379
63,18,189,408
64,11,135,332
65,15,176,376
66,17,178,378
67,16,144,343
68,13,156,361
69,17,151,366
70,18,167,369
71,21,156,366
72,20,152,356
73,13,137,335
74,16,163,360
75,18,167,376
76,15,147,355
77,17,149,354
78,12,136,334
79,14,163,360
80,18,171,372
81,13,161,368
82,16,144,344
83,15,168,366
84,20,174,387
85,15,32,198
86,13,136,332
87,18,149,359
88,15,140,342
89,13,139,337
90,14,141,342
91,16,144,350
92,16,139,336
93,18,172,377
94,18,140,336
95,14,29,206
96,21,163,375
97,19,150,366
98,14,171,369
99,20,152,358
